uri,primary_name_display,replaced
http://dx.doi.org/10.13039/100012234,"Academy of Veterinary Dentistry",
http://dx.doi.org/10.13039/501100001050,"Academy of the Social Sciences in Australia",
http://dx.doi.org/10.13039/100005320,"AcademyHealth",
http://dx.doi.org/10.13039/100009427,"Acadia University",
http://dx.doi.org/10.13039/501100010209,"Académie Hassan II des Sciences et Techniques",
http://dx.doi.org/10.13039/501100003476,"Académie Hassan II des Sciences et Techniques",
http://dx.doi.org/10.13039/501100008335,"Académie Nationale de Médecine",
http://dx.doi.org/10.13039/501100019806,"Académie Royale de Médecine de Belgique",
http://dx.doi.org/10.13039/501100008135,"Académie Universitaire ‘Louvain",
http://dx.doi.org/10.13039/501100014263,"Académie d'agriculture de France",
http://dx.doi.org/10.13039/100008754,"Académie de Médecine Vétérinaire du Québec",
http://dx.doi.org/10.13039/501100011880,"Académie de recherche et d'enseignement supérieur",
http://dx.doi.org/10.13039/100015906,"Académie des Beaux-Arts",
http://dx.doi.org/10.13039/100015905,"Académie des Inscriptions et Belles-Lettres",
http://dx.doi.org/10.13039/100015118,"Académie des Sciences, Institut de France",
http://dx.doi.org/10.13039/501100014614,"Académie française",
http://dx.doi.org/10.13039/501100014341,"Académie internationale de droit comparé",
http://dx.doi.org/10.13039/501100008027,"Accademia Nazionale dei Lincei",
http://dx.doi.org/10.13039/501100003291,"Accare",
http://dx.doi.org/10.13039/100001438,"Accelerate Brain Cancer Cure",
http://dx.doi.org/10.13039/100016345,"Accelerated Bridge Construction University Transportation Center",
http://dx.doi.org/10.13039/501100009025,"Accelerated Innovation Research Initiative Turning Top Science and Ideas into High-Impact Values",
http://dx.doi.org/10.13039/100014926,"Acceleron",
http://dx.doi.org/10.13039/100004672,"Accenture",
http://dx.doi.org/10.13039/100006486,"Acceptys",
http://dx.doi.org/10.13039/100013580,"Access Group Center for Research and Policy Analysis",
http://dx.doi.org/10.13039/100018118,"AccessLex Institute",
http://dx.doi.org/10.13039/100007598,"Accident Compensation Corporation",
http://dx.doi.org/10.13039/501100020695,"Accident Research Centre, Monash University",
http://dx.doi.org/10.13039/501100019119,"Acción Cultural Española",
http://dx.doi.org/10.13039/501100001545,"Accounting and Finance Association of Australia and New Zealand",
http://dx.doi.org/10.13039/100016226,"Accuray",
http://dx.doi.org/10.13039/100009871,"AcelRx Pharmaceuticals",
http://dx.doi.org/10.13039/501100008025,"Acerde",
http://dx.doi.org/10.13039/100017624,"Achaogen",
http://dx.doi.org/10.13039/501100002675,"Acharya N.G.Ranga Agricultural University",
http://dx.doi.org/10.13039/100001439,"Achelis Foundation",
http://dx.doi.org/10.13039/100009929,"Achelis and Bodman Foundation",
http://dx.doi.org/10.13039/100008227,"Achievement Rewards for College Scientists Foundation",
http://dx.doi.org/10.13039/501100007344,"Achmea",
http://dx.doi.org/10.13039/100014425,"Acorda Therapeutics",
http://dx.doi.org/10.13039/100005299,"Acoustical Society of America",
http://dx.doi.org/10.13039/100014005,"Actavis",
http://dx.doi.org/10.13039/501100006743,"Actavis Deutschland",
http://dx.doi.org/10.13039/100005646,"Actelion Pharmaceuticals",
http://dx.doi.org/10.13039/100010535,"Actinium Pharmaceuticals",
http://dx.doi.org/10.13039/501100000316,"Action Cancer",
http://dx.doi.org/10.13039/501100019917,"Action Contre La Faim",
http://dx.doi.org/10.13039/501100016059,"Action Damien",
http://dx.doi.org/10.13039/501100001266,"Action Duchenne",
http://dx.doi.org/10.13039/501100006672,"Action LIONS Vaincre le Cancer",
http://dx.doi.org/10.13039/501100000317,"Action Medical Research",
http://dx.doi.org/10.13039/100011731,"Action for A-T",
http://dx.doi.org/10.13039/501100008180,"Action for A-T",R
http://dx.doi.org/10.13039/100006723,"Action for Boston Community Development",
http://dx.doi.org/10.13039/501100001982,"Action for M.E.",
http://dx.doi.org/10.13039/100009775,"Action on Addiction",
http://dx.doi.org/10.13039/501100000703,"Action on Hearing Loss",
http://dx.doi.org/10.13039/501100018845,"Active Biotech",
http://dx.doi.org/10.13039/100013293,"Active and Assisted Living programme",
http://dx.doi.org/10.13039/100003561,"Activities Integrating Math and Science Education Foundation",
http://dx.doi.org/10.13039/501100002677,"ActoGeniX",
http://dx.doi.org/10.13039/100007547,"Actualis",
http://dx.doi.org/10.13039/100007399,"Actuarial Foundation",
http://dx.doi.org/10.13039/501100001307,"Actuarial Profession",
http://dx.doi.org/10.13039/100014388,"Acumed",
http://dx.doi.org/10.13039/100006385,"Acxiom",
http://dx.doi.org/10.13039/501100003026,"Ad Hoc Software Pty",
http://dx.doi.org/10.13039/100004176,"Adam Taliaferro Foundation",
http://dx.doi.org/10.13039/501100015758,"Adama Science and Technology University",
http://dx.doi.org/10.13039/100015453,"Adamas Pharmaceuticals",
http://dx.doi.org/10.13039/501100007823,"Adamawa State University, Mubi",
http://dx.doi.org/10.13039/100011463,"Adams State University",
http://dx.doi.org/10.13039/501100007539,"Adams Super Center for Brain Studies,Tel Aviv University",
http://dx.doi.org/10.13039/501100009029,"Adaptable and Seamless Technology Transfer Program through Target-Driven R and D",
http://dx.doi.org/10.13039/100018107,"Adaptation Fund",
http://dx.doi.org/10.13039/100016796,"Adaptive Biotechnologies",
http://dx.doi.org/10.13039/501100002927,"Addenbrooke's Charitable Trust, Cambridge University Hospitals",
http://dx.doi.org/10.13039/100009661,"Addi and Cassi Fund",
http://dx.doi.org/10.13039/501100007941,"Addis Ababa University",
http://dx.doi.org/10.13039/100004697,"Adecco",
http://dx.doi.org/10.13039/501100020913,"Adekunle Ajasin University",
http://dx.doi.org/10.13039/100014401,"Adelaide Hills Wine Region",
http://dx.doi.org/10.13039/501100002678,"Adelaide Research and Innovation, University of Adelaide",
